PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
1263193,1762,F-(S)CONNECTOR,4,1024,9,3.25,13
1559459,2270,F-(S)SPARK PLUG,2,241,10,1.65,3.3
1647558,3611,(S)SEAL,1,35,11,12.39,12.39
3538288,1652,F-(S)BOLT,2,1022,9,1.12,2.24
5480869,12187,(S)STRUT,1,834,11,28.68,28.68
8651658,4265,(S)FILTER,1,1058,9,4.83,4.83
8667424,4163,(S)SPRING,4,1056,9,4.71,18.84
9114472,2726,(S)NUT,1,1032,10,2.51,2.51
9128362,1097,(S)SEAL,4,1011,9,1.61,6.44
9157141,649,(S)ADAPTER,1,1008,12,8.88,8.88
9436750,8991,(S)BULB,10,1121,36,1.12,11.2
9595085,5858,CAP,1,768,12,65.74,65.74
9595249,5806,WHEEL,1,701F,11,188.16,188.16
9596426,5803,WHEEL,1,702,9,88.4,88.4
9598035,5858,CAP,1,57,10,9.05,9.05
9598753,5858,COVER,1,769,10,21.58,21.58
10045847,1150,F-(S)SENSOR,1,10,19,30.08,30.08
10179211,1060,(S)BRACKET,2,701,14,89.56,179.12
10186883,3459,F-(S)SPRING,1,1042,11,4.19,4.19
10207373,1246,(S)THERMOSTAT,1,11,9,7.28,7.28
10224885,659,(S)BALANCER,1,3,11,48.51,48.51
10248414,9770,(S)SENSOR,1,1128,11,7.11,7.11
10283834,10777,(S)SWITCH,1,81,10,69.6,69.6
10301356,2585,LAMP,1,712,10,32.89,32.89
10316651,2575,LAMP,1,711,9,31.7,31.7
10316652,2575,LAMP,1,711,10,34.58,34.58
10324542,2726,RETAINER,4,27,32,3.2,12.8
10328332,8141,SEALING STRIP,1,804,9,10.49,10.49
10343432,4730,(S)VALVE,1,54,10,1246.85,1246.85
10345904,29,(S)BRACKET,1,2,11,42.52,42.52
10353306,1272,RETAINER,1,1018,9,3.68,3.68
10368309,5855,W-(S)HUB,1,767,11,103.58,103.58
10372327,7629,GUIDE,2,784,11,5.31,10.62
10372927,8228,PAD,1,807,9,37.37,37.37
10379411,3685,(S)CONVERTER,1,W124,9,341,341
10381608,3163,(S)HOSE,1,733,11,48.99,48.99
10386199,1272,EXTENSION,1,W303,9,39.63,39.63
10390980,16603,PLATE,1,86,20,10.97,10.97
10391700,4779,(S)CABLE,1,757,12,10.66,10.66
10392621,10146,(S)BLADE,1,77,12,4.95,4.95
10393075,9280,(S)ACTUATOR,1,74,21,34.37,34.37
10399704,8015,(S)STRUT,2,800,11,25.28,50.56
10436136,7243,B-(S)INSULATOR,2,62,9,5.69,11.38
10445399,7242,(S)CLAMP,1,62,10,5.84,5.84
10457356,2374,(S)GEAR KIT,1,20,12,35.03,35.03
11516356,8900,(S)BOLT,1,1106,23,2.99,2.99
11516480,0,(S)BOLT,1,1001,9,3.15,3.15
11516551,8900,(S)BOLT,1,1106,11,2.82,2.82
11561637,8906,(S)BOLT,2,1108,11,2.51,5.02
11561763,8900,F-(S)BOLT,1,1107,27,2.51,2.51
11562426,8900,(S)BOLT,6,1106,10,3.8,22.8
11588890,8900,(S)BOLT,1,1108,9,1.19,1.19
11609792,662,(S)BOLT,1,6,9,7.22,7.22
12083689,2694,(S)SOCKET,1,26,10,37.51,37.51
12088594,4720,(S)RELAY,1,1066,27,12.76,12.76
12101855,2535,(S)CONNECTOR,1,24,11,17.19,17.19
12101888,2535,F-(S)CONNECTOR,1,24,11,19.97,19.97
12335887,7836,BRACE,1,794,21,11.25,11.25
12335906,2694,HARNESS,1,26,9,12.92,12.92
12338064,2042,(S)BOLT,5,1025,11,0.97,4.85
12346917,8800,PAINT,2,67,11,7.4,14.8
12382608,16068,GLASS,1,843,39,66.39,66.39
12459810,14875,STOP KIT,1,1151,9,13.6,13.6
12462265,1069,W-(S)PUMP KIT,1,200,9,87.71,87.71
12472844,16320,HINGE KIT,1,861,10,94.81,94.81
12474013,7869,BRACKET KIT,1,797,9,84.6,84.6
12476270,16068,MIRROR KIT,2,843,10,67.03,134.06
12476330,7632,COVER,2,63,29,5.65,11.3
12479391,5506,(S)PLUG,1,55,10,5.68,5.68
12522917,3162,(S)CONNECTOR KIT,1,1037,39,3.25,3.25
12546071,5600,(S)BEARING,1,56,10,52.13,52.13
12548280,7869,F-BRACKET,1,798,29,20.05,20.05
12548281,7869,F-BRACKET,1,798,10,22.11,22.11
12551462,1762,(S)TUBE,1,709,24,8.08,8.08
12555205,844,(S)SPRING,1,1010,9,5.28,5.28
12555290,1246,(S)THERMOSTAT,1,11,9,20.38,20.38
12555806,3690,GASKET,1,40,9,6.89,6.89
12557932,3680,(S)SEAL,1,1049,9,8.48,8.48
12558353,3680,(S)GASKET,1,1049,10,4.46,4.46
12558992,3670,(S)VALVE,1,36,10,31.67,31.67
12564401,1062,(S)PULLEY,2,9,9,41.39,82.78
12570168,3336,(S)GASKET,1,33,12,4.31,4.31
12571725,724,(S)CHAIN,1,6,11,49.13,49.13
12572042,666,(S)PLATE,1,700,26,22.16,22.16
12575354,297,(S)VALVE,2,3,10,14.97,29.94
12578277,2270,(S)SPARK PLUG,15,241,9,5.03,75.45
12581176,2525,HARNESS,1,23,10,10.36,10.36
12581196,3675,(S)HARNESS,1,744,9,13.88,13.88
12588097,2383,(S)SENSOR,1,21,9,41.16,41.16
12588413,1066,(S)BELT,1,BELT,12,28.27,28.27
12590323,1840,(S)ADAPTER,1,15,10,80.91,80.91
12591059,1066,(S)BELT,1,BELT,9,31.37,31.37
12592020,1079,(S)GASKET,1,1011,11,7.75,7.75
12594364,8929,(S)WASHER,1,1114,10,2.43,2.43
12595961,289,(S)GASKET KIT,1,249,22,154.19,154.19
12597307,724,(S)CHAIN,1,6,9,21.9,21.9
12597913,3336,(S)GASKET,4,34,10,1.41,5.64
12598209,2383,(S)SENSOR,2,21,10,19.57,39.14
12598504,724,(S)TENSIONER,2,6,10,30.79,61.58
12599714,3670,(S)MODULE,1,36,11,340.03,340.03
12604474,207,(S)GASKET,1,249,12,14.89,14.89
12605109,3335,(S)BODY,1,33,13,145.15,145.15
12606110,3300,(S)INJECTOR,1,33,11,32.97,32.97
12615500,2383,(S)SENSOR,1,21,10,18.54,18.54
12615628,3270,(S)GASKET KIT,1,256,10,30.94,30.94
12617792,3335,(S)BODY,1,83,9,90.1,90.1
12623853,1154,(S)GASKET,1,1013,10,5.34,5.34
12625437,519,(S)CAMSHAFT,1,699,10,72.71,72.71
12626525,3685,(S)MANIFOLD,1,746,9,379,379
12627163,646,F-(S)CRANKSHAFT,1,524,10,113.09,113.09
12627171,603,F-(S)ROD,1,5,10,20.8,20.8
12629698,519,(S)CAMSHAFT,1,699,9,77.48,77.48
12632172,3335,(S)BODY,1,33,10,122.12,122.12
12634491,3300,F-(S)INJECTOR,1,33,9,82.75,82.75
12635649,659,(S)BALANCER,1,5,11,111.75,111.75
12637722,3330,(S)VALVE,1,1040,10,20.97,20.97
12644228,3682,(S)SENSOR,1,39,11,37.54,37.54
