PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
12201805,9649,KNOB,1,75,63,2.3,2.3
19208577,14875,BELT KIT,1,,54,115.51,115.51
22171683,0027,(S)MOUNT,1,,53,97,97
12555270,0386,(S)COVER,1,,48,40.67,40.67
15897196,8820,JACK,1,808,44,62.04,62.04
88961983,17090,RAIL,1,,40,35.4,35.4
88986811,1066,F-(S)BELT,5,BELT,40,25.08,125.4
95995094,3028,(S)CAP,1,,39,10.57,10.57
12634085,3682,(S)SENSOR,1,,39,28.02,28.02
19151668,16585,F-BOLT,12,,39,3.76,45.12
24506090,0724,(S)CHAIN,1,,38,47.8,47.8
22798070,10772,MOLDING,1,,38,238.8,238.8
22936377,14340,BOW,1,,38,113.18,113.18
21055605,14875,F-BELT,1,,38,155,155
15976104,16490,F-BEZEL,1,,38,4.46,4.46
96648505,7831,BRACKET,1,,37,3.87,3.87
10198814,0738,F-(S)BOLT,1,,36,4.73,4.73
25842735,3402,CLEANER,1,,36,97.26,97.26
9130754,7831,F-(S)RIVET,4,,36,0.57,2.28
24024822,16065,(S)VALVE,1,,36,6.23,6.23
89059124,3451,(S)PEDAL,1,742,36,178.81,178.81
25761497,7833,DEFLECTOR,1,793,36,99.67,99.67
94515243,11179,F-(S)NUT,9,,35,0.77,6.93
22752485,13090,F-HARNESS,1,,35,42.65,42.65
12474501,2682,LENS,1,26,35,50.67,50.67
1154609,2187,F-(S)KEY,78,KEY,35,1.68,131.04
22714186,1263,F-PANEL,2,,34,57.11,114.22
8623920,4159,F-(S)BEARING,1,,34,9.08,9.08
25895546,10777,F-SWITCH,1,,34,20.31,20.31
25904020,16320,MODULE,2,861,34,257.65,515.3
14093705,8024,F-BUMPER,14,1094,34,1.85,25.9
95961450,1272,BAFFLE,1,,33,27.42,27.42
24231257,4163,(S)PLATE,2,,33,10.88,21.76
15169327,9264,(S)DEFLECTOR,1,,33,13.78,13.78
19210335,1836,(S)FILTER KIT,8,,32,3.11,24.88
10163879,4050,(S)CABLE,1,,32,30.32,30.32
11611174,7633,CAP,5,,32,0.81,4.05
11514527,8917,F-(S)NUT,3,,32,2.56,7.68
12476449,16320,HINGE KIT,1,,32,118.8,118.8
88880016,16716,F-PROTECTOR KIT,1,,32,5.53,5.53
11589106,10774,(S)BOLT,4,1138,32,2.99,11.96
2852559,2187,(S)KEY,1,KEY,32,17,17
10190942,1516,(S)INDICATOR,1,,31,11.81,11.81
12596442,3265,(S)GROMMET,1,,31,2.75,2.75
10141924,1153,(S)ADAPTER,1,10,31,35.81,35.81
88891776,1154,F-(S)GASKET,4,10,31,4.62,18.48
15740950,7629,HOIST,1,63,31,192.09,192.09
89019107,1277,F-SHROUD KIT,1,,30,124.54,124.54
12338017,8948,(S)CLAMP,10,70,30,2.16,21.6
25875522,16350,(S)HANDLE,1,85,30,28.22,28.22
22549794,9647,NUT,15,1125,30,2.02,30.3
15294335,17505,PANEL,1,W116,30,598.6,598.6
20933868,11573,F-COVER,1,,29,2.25,2.25
94530695,15222,F-PLATE,9,,29,0.6,5.4
14085720,0666,FLYWHEEL,1,700,29,180.43,180.43
22780108,2480,F-HARNESS,1,710,29,302.73,302.73
96981604,3417,DEFLECTOR,1,741,29,21.47,21.47
12603060,3602,SHIELD,1,743,29,43.12,43.12
19257560,4265,(S)REMANUFACTURED VALVE,1,752,29,145.19,145.19
92148358,5545,F-(S)COUPLING KIT,1,762,29,207.63,207.63
15219511,7346,W-(S)ABSORBER,2,780,29,89.02,178.04
88965456,7345,W-(S)STRUT,2,784,29,85.46,170.92
25716146,7831,F-RETAINER,1,788,29,21.85,21.85
15837840,9647,ANTENNA,1,817,29,15.55,15.55
22858069,9765,GAUGE,1,818,29,165.13,165.13
88974671,10154,F-(S)CONTAINER,1,821,29,38.83,38.83
92245216,10252,APPLIQUE,1,826,29,58.32,58.32
12525531,12242,F-HANDLE KIT,1,834,29,44.62,44.62
15036007,16064,(S)MOTOR,1,838,29,163.13,163.13
15124831,16068,MIRROR,1,839,29,235.07,235.07
15101757,16183,F-(S)SEALING STRIP,1,855,29,73.79,73.79
12476708,16682,F-RECLINER,1,874,29,60.44,60.44
88976955,16682,DISCONTINUED 02/2014,1,874,29,20.65,20.65
25917964,16712,AIRBAG,1,874,29,450,450
11519065,8950,(S)CLIP,2,1116,29,2.31,4.62
96062665,2187,DISCONTINUED 09/2014,14,KEY,29,5,70
15876403,17507,MOLDING,1,MLDG,29,76.81,76.81
